ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ILGAUZY01 ,2007,Zydrunas,Ilgauskas,CLE,N,73,2226,1029,262,421,683,104,34,120,135,243,878,417,243,195,1,0
IVERSAL01 ,2007,Allen,Iverson,DEN,N,82,3428,2164,47,196,243,586,160,12,246,109,1556,712,797,645,275,95
IVEYRO01  ,2007,Royal,Ivey,MIL,N,75,1435,418,38,80,118,160,45,7,76,166,377,149,117,85,107,35
JACKJA01  ,2007,Jarrett,Jack,POR,N,82,2234,814,31,203,234,311,61,1,178,128,621,267,248,215,191,65
JACKSBO01 ,2007,Bobby,Jackson,NOH,N,46,889,325,23,87,110,76,32,3,31,59,296,116,49,40,144,53
JACKSBO01 ,2007,Bobby,Jackson,HOU,N,26,495,228,10,61,71,63,13,2,28,37,210,88,32,24,82,28
JACKSBO01 ,2007,Bobby,Jackson,TOT,N,72,1384,553,33,148,181,139,45,5,59,96,506,204,81,64,226,81
JACKSLU02 ,2007,Luke,Jackson,MIA,N,14,227,79,7,26,33,17,8,0,9,22,80,26,23,16,30,11
JACKSST02 ,2007,Stephen,Jackson,GSW,N,73,2857,1466,67,251,318,299,92,29,197,171,1204,488,370,308,502,182
JACOBCA01 ,2007,Casey,Jacobsen,MEM,N,53,550,107,12,53,65,20,5,1,16,34,115,39,17,13,72,16
JAMESJE01 ,2007,Jerome,James,NYK,N,2,5,4,0,3,3,0,0,0,0,0,1,1,2,2,0,0
JAMESLE01 ,2007,LeBron,James,CLE,N,75,3027,2250,133,459,592,539,138,81,255,165,1642,794,771,549,359,113
JAMESMI01 ,2007,Mike,James,HOU,N,33,538,215,11,41,52,54,17,2,29,44,227,79,42,33,74,24
JAMESMI01 ,2007,Mike,James,NOH,N,21,182,57,3,14,17,6,4,0,7,12,64,22,6,6,23,7
JAMESMI01 ,2007,Mike,James,TOT,N,54,720,272,14,55,69,60,21,2,36,56,291,101,48,39,97,31
JAMISAN01 ,2007,Antawn,Jamison,WAS,N,79,3064,1689,215,591,806,120,106,34,113,195,1416,618,438,333,354,120
JARICMA01 ,2007,Marko,Jaric,MIN,N,75,2190,621,38,185,223,311,97,32,128,180,528,227,163,121,127,46
JEFFEAL01 ,2007,Al,Jefferson,MIN,N,82,2916,1726,308,607,915,117,74,119,167,222,1441,721,394,284,5,0
JEFFERI01 ,2007,Richard,Jefferson,NJN,N,82,3199,1857,94,253,347,252,76,21,199,225,1327,619,679,542,213,77
JEFFRJA01 ,2007,Jared,Jeffries,NYK,N,72,1308,269,118,124,242,65,36,23,63,130,270,108,93,49,25,4
JianlYi01 ,2007,Yi,Jianlian,MIL,N,66,1650,566,106,238,344,55,36,56,90,153,520,219,145,122,21,6
JohnsAl01 ,2007,Alexander,Johnson,MIA,N,44,555,184,32,63,95,16,13,10,42,81,129,62,85,59,3,1
JOHNSAM01 ,2007,Amir,Johnson,DET,N,62,769,221,86,146,232,31,24,81,37,138,165,92,55,37,0,0
JOHNSAN02 ,2007,Anthony,Johnson,SAC,N,27,408,104,5,33,38,60,10,1,34,29,88,40,11,9,30,15
JOHNSAN02 ,2007,Anthony,Johnson,ATL,N,42,1122,285,17,81,98,202,42,8,50,86,268,116,32,26,62,27
JOHNSAN02 ,2007,Anthony,Johnson,TOT,N,69,1530,389,22,114,136,262,52,9,84,115,356,156,43,35,92,42
JOHNSDE03 ,2007,DerMarr,Johnson,SAS,N,5,27,17,0,1,1,1,1,0,0,4,14,7,2,0,9,3
JOHNSJO02 ,2007,Joe,Johnson,ATL,N,82,3342,1780,83,282,365,474,84,18,223,168,1496,647,381,317,443,169
JOHNSLI01 ,2007,Linton,Johnson,PHO,N,6,54,15,5,8,13,3,0,1,2,10,14,7,0,0,2,1
JOHNSLI01 ,2007,Linton,Johnson,TOR,N,2,10,6,0,1,1,1,0,0,3,1,5,2,2,2,1,0
JOHNSLI01 ,2007,Linton,Johnson,TOT,N,8,64,21,5,9,14,4,0,1,5,11,19,9,2,2,3,1
JonesBo02 ,2007,Bobby,Jones,TOT,N,46,529,178,29,63,92,28,15,3,28,85,140,60,51,40,53,18
JonesBo02 ,2007,Bobby,Jones,HOU,N,4,8,4,0,1,1,0,1,0,1,3,4,2,0,0,0,0
JonesBo02 ,2007,Bobby,Jones,SAS,N,3,19,2,0,2,2,1,2,0,1,1,4,1,0,0,2,0
JonesBo02 ,2007,Bobby,Jones,MEM,N,9,138,40,10,17,27,11,5,2,5,17,36,14,10,9,13,3
JonesBo02 ,2007,Bobby,Jones,MIA,N,6,143,48,8,16,24,5,2,0,7,18,32,17,13,8,15,6
JonesBo02 ,2007,Bobby,Jones,DEN,N,24,221,84,11,27,38,11,5,1,14,46,64,26,28,23,23,9
JONESDA01 ,2007,Damon,Jones,CLE,N,66,1292,410,8,70,78,116,19,3,37,68,341,144,24,16,258,106
JONESDA02 ,2007,Dahntay,Jones,SAC,N,25,208,81,7,28,35,12,8,6,10,28,53,23,51,34,6,1
JONESDW02 ,2007,Dwayne,Jones,CLE,N,56,506,96,66,66,132,19,10,23,16,85,60,29,62,32,13,6
JONESED01 ,2007,Eddie,Jones,DAL,N,47,925,176,18,114,132,69,26,8,29,71,180,66,14,10,116,34
JONESFR01 ,2007,Freddie,Jones,NYK,N,70,1762,532,30,140,170,166,48,18,78,140,432,182,126,94,192,74
JONESJA02 ,2007,James,Jones,POR,N,58,1274,463,43,118,161,34,24,15,28,96,327,143,98,86,205,91
JonesSo01 ,2007,Solomon,Jones,ATL,N,35,148,35,19,23,42,0,3,5,11,28,30,12,20,11,2,0
KAMANCH01 ,2007,Chris,Kaman,LAC,N,56,2081,878,173,536,709,107,33,155,164,179,700,338,265,202,4,0
