ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
CLARKKE01 ,1999,Keon,Clark,DEN,N,81,1850,694,162,343,505,71,45,114,125,231,528,286,176,121,8,1
CLOSSKE01 ,1999,Keith,Closs,LAC,N,57,820,238,65,114,179,25,13,73,34,80,197,96,78,46,3,0
COLEMDE01 ,1999,Derrick,Coleman,CHA,N,74,2347,1239,124,508,632,175,34,130,173,195,979,446,377,296,141,51
COLESBI01 ,1999,Bimbo,Coles,ATL,N,80,1924,645,30,142,172,290,58,11,103,178,607,276,104,85,39,8
CONLOMA01 ,1999,Marty,Conlon,LAC,N,3,9,2,1,1,2,0,0,0,0,1,2,1,0,0,0,0
CORBITY01 ,1999,Tyrone,Corbin,SAC,N,54,941,219,40,125,165,60,36,5,29,99,247,88,39,33,44,10
CRAWFCH01 ,1999,Chris,Crawford,ATL,N,55,668,252,51,48,99,33,17,16,37,83,229,91,81,63,27,7
CROSHAU01 ,1999,Austin,Croshere,IND,N,81,1885,835,135,381,516,89,44,60,121,203,653,288,231,196,174,63
CROTTJO01 ,1999,John,Crotty,DET,N,69,937,325,17,58,75,128,27,5,54,104,251,106,93,80,80,33
CUMMITE01 ,1999,Terry,Cummings,GSW,N,22,398,184,45,62,107,21,13,8,27,74,177,76,39,32,0,0
CUMMIVO01 ,1999,Vonteego,Cummings,GSW,N,75,1793,706,57,127,184,247,91,13,132,174,655,265,169,127,151,49
CURLEBI01 ,1999,Bill,Curley,HOU,N,4,50,12,4,4,8,0,2,0,4,10,11,6,0,0,0,0
CURLEBI01 ,1999,Bill,Curley,GSW,N,24,259,64,14,28,42,14,11,4,17,51,57,23,25,18,1,0
CURLEBI01 ,1999,Bill,Curley,TOT,N,28,309,76,18,32,50,14,13,4,21,61,68,29,25,18,1,0
CURRYDE01 ,1999,Dell,Curry,TOR,N,67,1095,507,11,89,100,89,32,9,40,66,454,194,32,24,242,95
CURRYMI01 ,1999,Michael,Curry,DET,N,82,1611,506,21,83,104,87,33,5,73,209,379,182,168,141,5,1
DAMPIER01 ,1999,Erick,Dampier,GSW,N,21,495,167,48,86,134,19,8,15,29,75,173,70,51,27,0,0
DANIEAN01 ,1999,Antonio,Daniels,SAS,N,68,1195,420,16,70,86,177,55,5,58,73,344,163,101,72,66,22
DAVIDKO01 ,1999,Kornel,David,CLE,N,6,31,11,4,4,8,1,4,1,2,7,9,4,4,3,3,0
DAVIDKO01 ,1999,Kornel,David,TOT,N,32,474,179,26,55,81,17,17,3,33,56,157,67,56,45,6,0
DAVIDKO01 ,1999,Kornel,David,CHI,N,26,443,168,22,51,73,16,13,2,31,49,148,63,52,42,3,0
DAVISAN01 ,1999,Antonio,Davis,TOR,N,79,2479,910,235,461,696,105,38,100,121,267,712,313,371,284,0,0
DAVISBA01 ,1999,Baron,Davis,CHA,N,82,1523,486,48,117,165,309,97,19,140,201,433,182,153,97,111,25
DAVISBE01 ,1999,Ben,Davis,PHO,N,5,22,4,3,6,9,2,1,1,3,2,6,2,0,0,0,0
DAVISDA01 ,1999,Dale,Davis,IND,N,74,2127,743,256,473,729,64,52,94,91,203,602,302,203,139,0,0
DAVISEM01 ,1999,Emanual,Davis,SEA,N,54,701,217,15,85,100,70,38,5,44,72,220,80,38,26,103,31
DAVISHU01 ,1999,Hubert,Davis,DAL,N,79,1817,583,17,117,134,141,24,3,70,109,464,217,77,67,167,82
DAVISMA01 ,1999,Mark,Davis,GSW,N,23,464,143,31,53,84,38,25,4,40,52,137,56,47,31,2,0
DAVISRI01 ,1999,Ricky,Davis,CHA,N,48,570,227,29,54,83,62,30,8,46,39,187,94,51,39,4,0
DAYTO01   ,1999,Todd,Day,PHO,N,58,941,396,31,98,129,65,44,22,50,127,330,130,108,72,165,64
DECLEAN01 ,1999,Andrew,Declercq,CLE,N,82,1831,544,156,283,439,58,63,66,108,275,443,225,160,94,0,0
DELKTO01  ,1999,Tony,Delk,SAC,N,46,682,296,36,52,88,55,35,5,32,58,279,120,59,47,40,9
DELNEVI01 ,1999,Vinny,Delnegro,MIL,N,67,1211,349,9,98,107,160,36,0,48,81,325,153,39,35,24,8
DIALDE01  ,1999,Derrick,Dial,SAS,N,8,95,40,14,12,26,5,1,1,6,10,46,17,5,3,12,3
DICKEMI01 ,1999,Michael,Dickerson,VAN,N,82,3103,1496,78,201,279,208,116,45,165,226,1270,554,324,269,291,119
DIVACVL01 ,1999,Vlade,Divac,SAC,N,82,2374,1005,174,482,656,244,103,103,190,251,764,384,333,230,26,7
DOLEAMI01 ,1999,Michael,Doleac,ORL,N,81,1335,565,89,245,334,63,29,34,65,224,535,242,95,80,2,1
DOUGLSH01 ,1999,Sherman,Douglas,NJN,N,20,309,120,13,16,29,34,17,0,24,26,90,45,28,25,16,5
DREWBR01  ,1999,Bryce,Drew,HOU,N,72,1293,420,23,80,103,162,41,1,66,79,413,158,53,45,163,59
DUDLECH02 ,1999,Chris,Dudley,NYK,N,47,459,55,63,73,136,5,7,21,18,95,67,23,27,9,0,0
DUNCATI01 ,1999,Tim,Duncan,SAS,N,74,2875,1716,262,656,918,234,66,165,242,210,1281,628,603,459,11,1
EISLEHO01 ,1999,Howard,Eisley,UTA,N,82,2096,708,23,147,170,347,59,9,132,223,675,282,102,84,163,60
EKEZIOB01 ,1999,Obinna,Ekezie,VAN,N,39,351,125,34,58,92,8,9,4,26,61,88,41,64,43,0,0
ELIEMA01  ,1999,Mario,Elie,SAS,N,79,2217,590,48,201,249,193,73,9,130,156,457,195,149,126,186,74
ELLIOSE01 ,1999,Sean,Elliott,SAS,N,19,391,114,6,41,47,28,12,2,19,34,106,38,32,25,37,13
ELLISDA01 ,1999,Dale,Ellis,MIL,N,18,324,123,7,27,34,6,6,0,7,23,101,47,9,6,65,23
ELLISDA01 ,1999,Dale,Ellis,CHA,N,24,240,55,6,16,22,8,7,0,13,22,58,19,4,3,35,14
ELLISDA01 ,1999,Dale,Ellis,TOT,N,42,564,178,13,43,56,14,13,0,20,45,159,66,13,9,100,37
ELLISLA01 ,1999,Laphonso,Ellis,ATL,N,58,1309,487,98,192,290,59,32,25,52,133,464,209,95,66,21,3
